DateTime,Meter 01,Meter 02,Meter 03,Meter 04,Meter 05,Meter 06,Meter 07,Meter 08,Meter 09,Meter 010
00:00.0,0.204,0.076,1.2589999,0.194,0.051,1.251,0.097,0.363,0.136,0.603
30:00.0,0.284,0.093,0.131,0.257,0.047,0.355,0.104,0.631,0.226,1.2460001
00:00.0,0.447,0.156,0.208,0.3,0.002,0.437,0.066,0.418,0.473,2.1240001
30:00.0,0.266,0.121,0.231,0.252,0,0.314,0.057,0.4,0.501,2.4289999
00:00.0,0.966,0.162,0.231,0.221,0,0.322,0.091,0.415,0.299,1.063
30:00.0,0.172,0.724,0.197,0.277,0.043,0.337,0.104,0.458,0.216,0.705
00:00.0,0.192,0.323,0.191,0.235,0.052,0.294,0.059,0.612,0.423,0.802
30:00.0,0.228,0.229,0.192,0.206,0.049,0.187,0.071,0.409,0.33,0.721
00:00.0,0.203,0.247,0.198,0.221,0.009,0.335,0.102,0.408,0.325,0.667
30:00.0,0.211,0.171,0.19,0.254,0,0.325,0.08,0.376,0.34,1.09
00:00.0,0.188,0.189,0.244,0.183,0,0.242,0.283,0.328,0.333,0.279
30:00.0,0.213,0.13,0.074,0.192,0.032,0.286,0.275,0.269,0.404,0.712
00:00.0,0.157,0.114,0.073,0.071,0.053,0.234,0.201,0.275,1.044,0.457
30:00.0,0.202,0.137,0.07,0.05,0.05,0.176,0.077,0.202,0.348,0.174
00:00.0,0.157,0.074,0.068,0.089,0.019,0.093,0.084,0.224,0.062,0.158
30:00.0,0.211,3.3469999,0.104,0.04,0,0.078,0.084,0.202,0.059,0.206
00:00.0,0.155,3.5280001,0.122,0.051,0,0.053,0.054,0.287,0.058,0.236
30:00.0,0.169,2.908,0.082,0.082,0.017,0.077,0.063,0.267,0.059,0.155
00:00.0,0.101,2.2720001,0.066,0.039,0.054,0.058,0.1,0.236,0.058,0.15
30:00.0,0.117,2.6659999,0.08,0.057,0.051,0.07,0.059,0.21,0.058,0.156
00:00.0,0.084,2.4000001,0.043,0.079,0.03,0.067,0.054,0.206,0.058,0.204
30:00.0,0.118,2.5450001,0.031,0.042,0,0.051,0.089,0.244,0.057,0.405
00:00.0,0.08,2.582,0.067,0.073,0,0.092,0.077,0.265,0.058,0.165
30:00.0,0.119,2.3510001,0.086,0.089,0,0.07,0.072,0.287,0.057,0.17
00:00.0,0.075,2.665,0.07,0.037,0.053,0.314,0.171,0.2,0.058,0.207
30:00.0,0.123,2.349,0.067,0.089,0.052,0.206,0.415,0.262,0.057,0.292
00:00.0,0.071,1.9960001,0.089,0.065,0.047,0.112,0.178,0.348,0.058,0.256
30:00.0,0.126,3.1849999,0.066,0.105,0,0.2,0.05,0.421,0.057,0.941
00:00.0,0.067,2.3989999,0.288,0.08,0,0.191,0.087,0.604,0.057,0.846
30:00.0,0.124,0.255,0.23,0.529,0,0.158,0.072,0.392,0.057,0.489
00:00.0,0.118,0.277,0.554,0.122,0.033,0.175,0.05,0.248,0.263,0.325
30:00.0,0.132,0.279,0.147,0.086,0.052,0.136,0.223,0.215,0.093,0.26
00:00.0,0.358,0.275,0.153,0.129,0.047,0.14,0.151,0.232,0.323,0.135
30:00.0,0.628,0.145,0.237,0.188,0.002,0.228,0.104,0.25,0.236,0.278
00:00.0,0.784,0.097,0.472,0.202,0,0.15,0.099,0.295,0.305,0.435
30:00.0,0.681,0.115,0.292,0.152,0,0.122,0.135,0.263,0.857,1.166
00:00.0,0.749,0.135,0.15,0.387,0.039,0.153,0.082,0.234,0.357,0.193
30:00.0,0.593,0.705,0.174,0.565,0.053,0.197,0.077,0.21,0.063,0.194
00:00.0,0.502,0.385,0.232,0.174,0.044,0.134,0.118,0.234,0.058,0.231
30:00.0,0.115,0.245,0.16,0.236,0,0.144,0.095,0.267,0.102,0.197
00:00.0,0.113,0.218,0.094,0.129,0,0.102,0.088,0.296,0.231,0.194
30:00.0,0.092,0.192,0.074,0.149,0,0.196,0.194,0.249,0.069,0.732
00:00.0,0.124,0.11,0.103,0.194,0.05,0.108,0.18,0.228,0.06,0.752
30:00.0,0.084,0.132,0.088,0.137,0.051,0.257,0.123,0.221,0.138,0.797
00:00.0,0.125,0.091,0.045,0.137,0.049,0.121,0.105,0.347,0.06,1.2180001
30:00.0,0.078,0.119,0.032,0.164,0.001,0.113,0.131,0.335,0.215,2.3399999
00:00.0,0.136,0.159,0.045,0.202,0,0.131,0.147,0.372,0.209,2.4189999
30:00.0,0.227,0.131,0.064,0.332,0,0.108,0.14,0.358,0.325,0.918
00:00.0,0.207,0.219,0.084,0.255,0.041,0.132,0.16,0.333,0.513,1.096
30:00.0,0.141,0.244,0.137,0.207,0.051,0.515,0.154,0.342,0.573,1.926
00:00.0,0.258,0.242,1.349,0.257,0.048,1.39,0.227,0.377,0.44,2.119
30:00.0,0.217,0.235,0.425,0.24,0.007,0.257,0.929,0.384,0.45,1.003
00:00.0,0.223,0.202,0.551,0.195,0,0.259,0.722,0.338,0.218,0.458
30:00.0,0.075,0.21,0.393,0.244,0,0.254,0.488,0.291,0.289,0.538
00:00.0,0.23,0.19,0.836,0.201,0.037,0.403,0.472,0.281,0.484,0.628
30:00.0,0.208,0.235,0.299,0.195,0.052,0.251,0.304,0.328,0.564,0.603
00:00.0,0.265,0.205,0.194,0.247,0.049,0.216,0.278,0.358,0.479,0.48
30:00.0,0.377,0.198,0.275,0.348,0.016,0.168,0.317,0.404,0.331,0.402
00:00.0,0.327,0.22,0.195,0.193,0,0.057,0.324,0.421,0.31,0.34
30:00.0,0.277,0.182,0.132,0.185,0,0.078,0.263,0.294,0.288,0.242
00:00.0,0.288,0.209,0.058,0.072,0.025,0.055,0.154,0.228,0.256,0.175
30:00.0,0.256,0.144,0.051,0.045,0.053,0.077,0.097,0.226,0.108,0.208
00:00.0,0.288,0.15,0.043,0.091,0.049,0.056,0.054,0.296,0.058,0.502
30:00.0,0.259,2.1630001,0.084,0.03,0.026,0.078,0.078,0.286,0.057,0.532
00:00.0,0.291,2.177,0.085,0.053,0,0.057,0.089,0.258,0.056,0.206
30:00.0,0.238,0.968,0.102,0.081,0,0.074,0.054,0.224,0.057,0.183
00:00.0,0.17,0.979,0.117,0.038,0.013,0.059,0.065,0.224,0.057,0.17
30:00.0,0.116,1.229,0.041,0.046,0.054,0.072,0.099,0.259,0.057,0.208
00:00.0,0.165,0.955,0.052,0.089,0.051,0.06,0.057,0.287,0.057,0.232
30:00.0,0.112,1.2819999,0.061,0.029,0.037,0.07,0.054,0.29,0.057,0.201
00:00.0,0.166,0.239,0.081,0.06,0,0.06,0.097,0.225,0.056,0.228
30:00.0,0.109,0.139,0.081,0.072,0,0.069,0.087,0.221,0.056,0.158
00:00.0,0.166,0.435,0.102,0.038,0,0.059,0.148,0.228,0.057,0.171
30:00.0,0.106,0.497,0.068,0.063,0.053,0.106,0.379,0.272,0.055,0.275
00:00.0,0.165,0.301,0.033,0.088,0.051,0.294,0.193,0.349,0.056,0.259
30:00.0,0.102,0.626,0.091,0.029,0.04,0.172,0.053,0.505,0.055,1.321
00:00.0,0.164,1.153,0.208,0.092,0,0.35,0.087,0.416,0.055,1.3279999
